icao24,model
c07bc5,172N (Cessna)
a2c400,172D
a87acc,172M
ad6641,172M
aac274,172K
a477b2,172L
a1eec9,172N
a30925,172S
a5b323,172RG
a0864e,172M
c03f13,172 (Cessna)
a1906b,172K
a9e69d,172N
a9dd10,172M
a9a6eb,172A
a37ec6,172S
a14ea9,172C
a6d55e,172E
a49f2d,172G
a526d5,172M
a02ed7,172G
c00c70,172K (Cessna)
a4ae3b,172H
c0354a,172G (Cessna)
a5c18e,172S
c021e7,172B (Cessna)
a6e620,172M
ab0fa1,172F
c01443,172 (Cessna)
a9ef37,172N
c033eb,172K (Cessna)
ac0c8f,172F
a9f9a0,172A
a4c378,172R
c06be4,172M (Cessna)
a89ea5,172M
a62800,172S
a52fc6,172M
a87a48,172M
aab4c9,172F
a6aa3e,172N
a7f65d,172N
a9e1b6,R172K
a63a94,172R
aa4521,172N
a5ac28,172K
ad0f88,172M
4a9f55,FR172G Rocket
a9e2a6,R172K
c08376,172M (Cessna)
a0980d,172M
a693d2,172F
a0c7c9,172C
a9da21,172N
ab4ac3,172H
c06dca,172P (Cessna)
a78f26,172G
c08921,172N (Cessna)
a17e85,172N
a844c7,172S
a0b40d,172H
a07874,172N
c04565,172G (Cessna)
a49128,172H
345201,F172
c04402,172L (Cessna)
4.00E+35,REIMS CESSNA FR172K Reims Hawk Xp
a9eb3c,172N
ab02de,172M
aa2427,172A
a2490d,172D
4bab44,172S Skyhawk SP
ab3ad7,172F
3d0c17,FR172J Rocket
c00046,172M (Cessna)
a1994c,172M
a546f4,172L
a4741e,172L
aa1319,172B
a9e734,172N
ad66c0,172RG
a5a053,172I
c0892e,172M (Cessna)
4aa70e,FR172G Rocket
46860c,172M Skyhawk
c02deb,172D (Cessna)
c05a3c,172M (Cessna)
a0d83d,172N
aaad7e,172F
c01b35,172 (Cessna)
a82bb0,172P
39000a,F172M
a47fd1,172E
a121e5,172RG
4b9056,R172K Hawk XP
3d24eb,172P Skyhawk
a8689c,172RG
a074d4,172M
a4426b,172G
a1218a,172K
a9e91a,172N
aba117,172C
ab89ba,172K
a477f9,172H
ac7d93,172S
a9ee65,172N
3d13dd,Cessna 172S Skyhawk SP
a66f15,172F
4b05a1,F172M
a3f622,172R
a9bd04,172N
c0801a,172M (Cessna)
a5c4bd,172RG
a0eabf,172C
3d0e34,172R Skyhawk
a4a423,172L
aae80a,172M
a1d9d7,172M
a178b8,172S
ab4df9,172C
a59c9f,172I
ad797c,172M
c03168,172G (Cessna)
c01368,172N (Cessna)
adcc53,172L
ab9922,172K
