Latitude,Longtitude,Pressure [hPa],Height [m],Temperature [C],Relative Humidity [%],Wind Direction [deg],Wind Speed [knot]
,,500.0,5855.0,-6.0,14.0,186.0,11.0
,,450.0,6671.0,-11.2,52.0,189.0,11.0
,,400.0,7565.0,-16.8,84.0,255.0,13.0
,,350.0,8556.0,-23.1,93.0,293.0,22.0
,,300.0,9666.0,-31.4,76.0,277.0,24.0
,,250.0,10930.0,-41.7,77.0,269.0,45.0
,,200.0,12401.0,-53.7,47.0,264.0,51.0
,,150.0,14186.0,-68.2,41.0,274.0,65.0
,,100.0,16544.0,-78.5,61.0,259.0,22.0
b'13.0000',b'-129.0000',1012.0,0.0,24.5,81.0,79.0,15.0
,,1000.0,104.0,23.2,79.0,80.0,17.0
,,975.0,325.0,21.2,86.0,81.0,17.0
,,950.0,550.0,19.2,93.0,82.0,17.0
,,925.0,779.0,17.5,94.0,85.0,15.0
,,900.0,1013.0,17.6,69.0,83.0,13.0
,,850.0,1504.0,19.7,18.0,73.0,12.0
,,800.0,2023.0,17.4,21.0,79.0,12.0
,,750.0,2570.0,13.7,35.0,84.0,12.0
,,700.0,3147.0,10.2,26.0,95.0,6.0
,,650.0,3758.0,6.2,36.0,168.0,2.0
,,600.0,4409.0,1.8,48.0,221.0,6.0
,,550.0,5105.0,-2.1,26.0,208.0,10.0
,,500.0,5856.0,-5.9,8.0,195.0,10.0
,,450.0,6673.0,-11.0,34.0,190.0,11.0
,,400.0,7567.0,-17.0,89.0,225.0,12.0
,,350.0,8557.0,-23.4,100.0,284.0,19.0
,,300.0,9666.0,-31.6,96.0,280.0,21.0
,,250.0,10929.0,-41.7,75.0,273.0,43.0
,,200.0,12401.0,-53.5,45.0,268.0,53.0
,,150.0,14186.0,-68.1,44.0,277.0,64.0
,,100.0,16545.0,-78.7,60.0,256.0,21.0
b'13.0000',b'-128.0000',1012.2,0.0,24.2,82.0,77.0,14.0
,,1000.0,106.0,22.9,81.0,77.0,16.0
,,975.0,326.0,20.8,88.0,78.0,17.0
,,950.0,551.0,18.8,95.0,80.0,17.0
,,925.0,780.0,17.1,96.0,83.0,15.0
,,900.0,1014.0,18.5,44.0,79.0,11.0
,,850.0,1505.0,19.4,8.0,62.0,12.0
,,800.0,2023.0,17.7,7.0,67.0,13.0
,,750.0,2570.0,14.2,24.0,74.0,13.0
,,700.0,3147.0,10.1,30.0,79.0,6.0
,,650.0,3758.0,6.2,30.0,183.0,1.0
,,600.0,4409.0,2.0,34.0,220.0,5.0
,,550.0,5105.0,-1.9,21.0,207.0,9.0
,,500.0,5857.0,-5.9,13.0,197.0,10.0
,,450.0,6674.0,-10.6,27.0,193.0,9.0
,,400.0,7569.0,-17.0,88.0,216.0,11.0
,,350.0,8558.0,-23.5,100.0,271.0,18.0
,,300.0,9668.0,-31.5,100.0,281.0,20.0
,,250.0,10930.0,-41.7,75.0,275.0,37.0
,,200.0,12401.0,-53.6,48.0,270.0,54.0
,,150.0,14187.0,-68.0,47.0,278.0,63.0
,,100.0,16545.0,-79.0,66.0,255.0,21.0
b'13.0000',b'-127.0000',1012.4,0.0,24.1,80.0,74.0,13.0
,,1000.0,107.0,22.8,80.0,75.0,15.0
,,975.0,328.0,20.7,87.0,75.0,15.0
,,950.0,552.0,18.6,94.0,76.0,15.0
,,925.0,781.0,16.8,96.0,78.0,14.0
,,900.0,1015.0,18.4,35.0,79.0,11.0
,,850.0,1505.0,19.1,4.0,58.0,11.0
,,800.0,2022.0,17.6,3.0,58.0,13.0
,,750.0,2569.0,14.7,15.0,67.0,13.0
,,700.0,3147.0,10.2,29.0,67.0,7.0
,,650.0,3758.0,6.4,24.0,205.0,0.0
,,600.0,4409.0,2.2,27.0,209.0,4.0
,,550.0,5105.0,-1.8,23.0,204.0,8.0
,,500.0,5857.0,-5.9,19.0,203.0,8.0
,,450.0,6675.0,-10.3,25.0,211.0,5.0
,,400.0,7571.0,-16.8,73.0,220.0,8.0
,,350.0,8561.0,-23.6,100.0,264.0,17.0
,,300.0,9670.0,-31.5,100.0,281.0,22.0
,,250.0,10931.0,-41.9,81.0,277.0,31.0
,,200.0,12403.0,-53.6,47.0,273.0,52.0
,,150.0,14189.0,-68.0,49.0,279.0,62.0
,,100.0,16545.0,-79.2,70.0,251.0,21.0
b'13.0000',b'-126.0000',1012.5,0.0,24.1,79.0,72.0,12.0
,,1000.0,108.0,22.8,78.0,72.0,13.0
,,975.0,329.0,20.6,85.0,72.0,14.0
,,950.0,553.0,18.5,93.0,73.0,14.0
,,925.0,781.0,16.5,98.0,75.0,13.0
,,900.0,1015.0,17.7,44.0,77.0,11.0
,,850.0,1505.0,18.8,4.0,59.0,9.0
,,800.0,2021.0,17.2,3.0,52.0,13.0
,,750.0,2568.0,14.8,11.0,59.0,14.0
,,700.0,3146.0,10.5,24.0,59.0,8.0
,,650.0,3758.0,6.5,23.0,338.0,0.0
,,600.0,4409.0,2.5,23.0,222.0,3.0
,,550.0,5106.0,-1.8,22.0,213.0,6.0
,,500.0,5857.0,-6.2,22.0,219.0,7.0
,,450.0,6675.0,-10.1,17.0,247.0,2.0
,,400.0,7572.0,-16.1,39.0,228.0,6.0
,,350.0,8563.0,-23.5,94.0,266.0,16.0
