Latitude,Longtitude,Pressure [hPa],Height [m],Temperature [C],Relative Humidity [%],Wind Direction [deg],Wind Speed [knot]
50.68,-127.36,11004,224.0,-58.9,17,212,40
50.68,-127.36,12497,176.9,-55.8,2,250,31
50.68,-127.36,14126,137.0,-55.5,1,267,37
50.68,-127.36,16764,89.9,-62.9,1,300,43
50.68,-127.36,20117,52.0,-64.2,1,305,62
50.68,-127.36,22860,33.3,-63.4,1,320,72
50.68,-127.36,26822,17.9,-51.2,1,340,129
50.68,-127.36,30480,10.2,-46.1,1,345,134
53.53,-114.1,792,920.0,-0.3,59,294,11
53.53,-114.1,1935,797.0,-5.5,75,323,44
53.53,-114.1,3462,654.0,-12.7,100,313,57
53.53,-114.1,4877,541.7,-19.7,38,310,77
53.53,-114.1,6509,433.0,-29.9,56,305,88
53.53,-114.1,9887,263.0,-52.9,29,297,94
53.53,-114.1,11582,200.6,-65.9,62,305,82
53.53,-114.1,12779,165.0,-62.3,9,310,72
53.53,-114.1,15860,100.0,-64.9,6,315,73
53.53,-114.1,18290,66.9,-70.5,6,310,73
53.53,-114.1,24994,21.3,-72.9,7,325,89
53.55,-114.1,766,923.0,-1.7,69,290,7
53.55,-114.1,1829,807.7,-4.9,77,325,41
53.55,-114.1,3353,663.4,-12.4,100,315,59
53.55,-114.1,4739,552.0,-18.3,34,310,72
53.55,-114.1,6281,447.0,-29.3,70,305,85
53.55,-114.1,7620,369.5,-37.4,50,305,94
53.55,-114.1,10210,250.0,-55.9,36,295,96
53.55,-114.1,11582,200.6,-65.9,55,305,82
53.55,-114.1,12780,165.0,-62.3,7,310,72
53.55,-114.1,15860,100.0,-64.9,5,315,73
53.55,-114.1,18020,70.0,-69.1,6,315,68
53.55,-114.1,24689,22.5,-73.0,6,325,103
53.55,-114.1,29590,10.0,-62.5,5,345,149
43.93,-60.01,2134,780.9,7.3,100,180,36
43.93,-60.01,3962,622.8,-2.6,77,235,30
43.93,-60.01,7477,392.0,-25.7,79,249,52
43.93,-60.01,10807,241.0,-52.5,68,265,94
43.93,-60.01,13612,152.0,-71.5,56,265,109
43.93,-60.01,14630,128.2,-67.6,14,275,101
43.93,-60.01,16217,98.6,-62.5,4,265,86
43.93,-60.01,18310,70.0,-66.3,3,255,67
43.93,-60.01,20422,49.8,-59.6,2,240,49
43.87,-66.11,195,972.0,11.8,100,199,39
43.87,-66.11,1326,850.0,10.4,95,210,59
43.87,-66.11,2743,715.2,1.7,71,215,64
43.87,-66.11,3843,623.0,-4.7,25,215,71
43.87,-66.11,5110,529.0,-12.7,90,222,88
43.87,-66.11,6706,427.0,-23.1,76,225,118
43.87,-66.11,10440,250.0,-50.1,76,230,130
43.87,-66.11,13081,163.0,-67.7,53,233,133
43.87,-66.11,14929,120.0,-68.1,10,250,105
43.87,-66.11,16154,98.0,-65.7,4,240,95
43.87,-66.11,18071,71.7,-64.3,3,245,68
46.3,-76.01,189,977.0,-14.9,70,320,4
46.3,-76.01,1033,872.0,-22.5,95,286,18
46.3,-76.01,1980,768.0,-18.5,83,258,28
46.3,-76.01,3048,664.3,-24.4,66,240,37
46.3,-76.01,4602,534.0,-35.3,25,239,42
46.3,-76.01,6096,430.2,-40.3,18,225,51
46.3,-76.01,8498,301.0,-45.7,1,215,99
46.3,-76.01,11047,205.0,-47.9,1,213,104
46.3,-76.01,13411,142.5,-52.7,1,215,84
46.3,-76.01,15690,100.0,-55.3,1,230,92
46.3,-76.01,19202,57.4,-58.8,1,235,66
46.3,-76.01,21684,38.5,-64.9,1,250,97
46.3,-76.01,25277,21.5,-60.9,1,235,118
48.56,-58.56,421,960.0,-5.7,83,112,40
48.56,-58.56,1043,888.0,2.6,83,162,52
48.56,-58.56,2134,776.2,2.9,96,210,47
48.56,-58.56,4267,592.8,-9.5,92,220,47
48.56,-58.56,5332,516.0,-15.1,39,238,52
48.56,-58.56,6737,427.0,-24.3,52,250,75
48.56,-58.56,10099,262.0,-52.1,57,255,91
48.56,-58.56,13344,154.0,-69.9,48,263,129
48.56,-58.56,14997,117.0,-66.5,8,265,96
48.56,-58.56,16725,88.5,-64.7,3,246,76
48.56,-58.56,18160,70.0,-65.1,3,250,75
48.56,-58.56,21303,42.3,-58.3,2,256,70
53.3,-60.36,170,987.0,-8.7,93,104,14
53.3,-60.36,1332,850.0,-6.1,96,150,66
53.3,-60.36,2508,732.0,-5.5,96,183,49
53.3,-60.36,5450,500.0,-18.3,86,225,58
53.3,-60.36,8191,341.0,-40.3,77,229,67
53.3,-60.36,10668,232.7,-62.3,58,245,103
