,Elevation,Latent Variable 1,Latent Variable 2,Latent Variable 3,Latent Variable 4
309,313.0,0.837276,2.267896,2.196718,6.261603
310,1029.0,1.529092,0.983677,1.413034,1.927988
311,180.0,1.815347,1.804328,1.66218,8.437849
312,215.0,2.903281,1.210128,3.075921,2.407975
313,178.0,3.886404,0.564804,1.958155,4.46984
314,1619.0,2.324814,1.272478,2.613703,4.379158
317,16.0,3.327147,1.256005,4.250023,0.0
318,1516.0,0.600612,1.649515,0.818202,6.227325
319,10.0,1.721308,2.043846,3.261772,3.126901
320,872.0,4.486398,0.154699,1.128642,3.574489
321,1475.0,0.906735,2.592928,2.940494,5.944654
322,5.0,0.0,2.984173,5.551541,1.398178
323,1134.0,2.116655,1.223701,1.603412,6.049269
324,13.0,1.158286,2.825143,3.514484,5.400171
325,329.0,3.842466,1.013508,2.639508,6.374313
326,189.0,4.546942,0.525251,1.422481,0.706621
328,790.0,4.699053,0.050855,1.252311,5.294525
329,180.0,1.731665,1.211891,1.940201,0.411695
330,9.0,2.156308,1.608407,2.800992,3.21137
331,20.0,5.253938,0.75592,3.8716,4.930738
332,1516.0,1.246107,3.59042,5.459128,6.248244
333,5.0,0.0,2.145885,1.168732,0.905172
334,9.0,5.771772,0.167739,1.479361,3.465883
335,270.0,1.673338,1.415778,2.120622,4.468871
336,446.0,4.97947,1.009374,4.981677,3.698779
337,5.0,1.268339,1.906933,2.567132,2.556272
338,137.0,1.055444,2.608542,3.044241,6.218801
339,190.0,2.703612,1.709769,5.499763,0.630811
340,11.0,1.564451,2.096852,2.22081,7.970015
341,317.0,2.667083,2.423785,5.472647,5.179886
342,287.0,0.357989,2.280814,2.663841,2.404968
343,1289.0,0.915739,0.935588,0.072332,4.830739
344,446.0,0.604121,1.958812,1.766016,3.124459
345,270.0,2.649033,0.219488,0.067922,0.734663
346,1289.0,2.789527,0.432784,0.265218,2.167122
347,1516.0,1.749067,1.249108,1.145199,7.011106
348,1619.0,0.0,1.409504,0.15321,3.000911
349,245.0,2.040276,1.831863,2.850201,5.507207
350,317.0,3.7759,1.105936,4.007801,3.666989
352,345.0,0.186726,1.262502,0.175569,1.937762
353,16.0,2.303989,0.762208,0.781947,4.067872
356,874.0,0.213751,1.752118,1.231947,3.572192
357,1475.0,2.170766,1.361245,2.735318,4.276505
358,121.0,3.236799,0.810758,1.461176,7.309399
360,1289.0,3.43723,0.494128,1.854705,4.114822
361,751.0,3.95813,1.085831,3.965107,4.961773
362,173.0,2.797486,1.328219,3.386047,2.826326
363,10.0,0.049304,3.196849,5.705383,0.556446
364,180.0,0.449765,1.627886,1.43089,1.176297
365,700.0,2.682217,0.529955,0.869562,2.976847
366,874.0,3.112001,0.052661,0.0,4.289081
367,173.0,3.717624,1.202811,3.613075,2.3613
369,13.0,1.783138,2.690375,4.075085,6.48489
370,178.0,1.329855,2.305427,3.951872,4.220797
372,874.0,1.102465,1.164593,0.87286,1.67065
373,10.0,4.257975,1.448503,5.720594,2.249122
374,1029.0,0.902368,0.720377,0.0,2.400266
375,1516.0,0.0,2.031575,1.181376,4.383054
376,62.0,5.968745,0.0,0.694934,4.497515
377,229.0,3.209898,0.266821,0.196273,1.515988
378,13.0,1.152817,2.699528,3.679695,5.482929
379,189.0,5.541456,0.461035,2.886443,6.067803
380,1611.0,0.774254,1.778291,1.942643,2.911136
381,173.0,1.860515,0.785049,1.197189,2.791399
382,1099.0,3.870346,1.111689,3.52544,4.373027
383,874.0,1.310792,0.572212,0.0,3.159069
384,1516.0,1.526024,1.940698,2.746788,5.510952
385,245.0,1.977517,2.059472,4.507812,3.300984
386,1516.0,4.023878,0.548601,3.095729,0.0
387,1611.0,1.67227,0.699224,0.719731,0.0
388,91.0,1.318139,1.461996,1.079977,2.058365
389,849.0,2.927947,0.897102,1.798841,5.604915
391,849.0,2.125726,1.403688,2.005979,5.13874
392,849.0,1.922837,0.466763,0.422335,2.799068
393,190.0,3.810583,0.032067,0.0,2.568369
394,61.0,5.270179,0.469334,2.440051,7.389619
395,287.0,1.435972,1.626509,0.775545,9.110221
396,1619.0,1.34493,0.967245,0.707762,4.081485
397,317.0,0.991628,0.750183,0.0,3.141027
398,79.0,3.933575,0.447356,2.008615,5.201425
399,405.0,3.379694,0.637011,1.213975,0.921594
401,270.0,0.460995,1.578171,0.988902,2.231548
402,1608.0,0.0,2.153858,1.686276,3.228057
403,178.0,3.355276,1.185939,2.93014,1.704985
404,1475.0,5.267492,0.0,0.861324,2.984648
405,874.0,0.0,2.109225,1.083588,2.663247
406,350.0,3.191332,1.307324,3.973419,2.523029
407,79.0,1.424374,2.657746,4.512028,4.302328
408,396.0,1.812379,0.799167,0.886383,1.840226
409,178.0,5.071292,0.633119,3.743636,1.325
410,1516.0,0.0,2.271926,1.771724,4.455119
411,405.0,5.239965,0.0,0.578301,8.741547
412,1475.0,0.668811,0.750829,0.006575,3.204775
413,1289.0,0.0,2.14818,1.442836,2.858154
414,1099.0,2.616215,1.735499,3.607878,5.434137
415,178.0,3.054204,1.275929,3.248688,3.222768
416,137.0,1.54124,2.546288,3.653922,6.016116
417,173.0,0.562992,2.574041,2.960442,3.664205
418,15.0,0.392154,3.440792,4.929284,3.522178
419,849.0,0.130288,1.193443,0.0,2.052758
420,13.0,0.932678,2.023632,2.477253,3.537946
421,1029.0,0.0,1.321625,0.303481,0.732904
423,61.0,1.413891,1.176826,0.610339,5.854882
424,506.0,0.035081,1.512197,0.706505,3.032133
425,1099.0,0.314561,2.867026,3.637806,4.393033
426,849.0,2.735262,0.158264,0.0,4.31222
427,270.0,1.132946,1.196934,0.357923,6.724918
428,1608.0,1.926832,0.712608,1.015236,1.613741
429,121.0,0.356986,2.932666,4.171166,3.334865
430,178.0,2.844586,1.82311,6.045694,0.600898
431,506.0,1.763962,0.486979,0.0,2.299969
432,357.0,0.0,1.088108,0.0,2.051175
433,171.0,1.442058,2.554095,4.254029,4.630786
434,387.0,4.603964,0.433323,2.293438,5.769068
435,3.0,0.370031,3.302602,4.460595,4.456716
436,60.0,3.207911,1.102978,2.792133,4.46672
437,5.0,2.692862,1.644382,3.484563,4.623303
438,125.0,3.05289,1.481423,3.167592,4.304755
439,287.0,0.09897,1.461712,0.67998,1.139697
440,9.0,1.121903,1.73368,1.229404,1.419089
441,121.0,0.6917,2.902329,3.3771,4.500057
442,95.0,0.421694,1.455386,0.763677,2.811167
443,5.0,2.320223,1.118751,1.436288,5.64479
444,189.0,3.977232,0.465504,0.928482,0.643844
446,13.0,1.908112,1.292991,1.910153,2.033069
447,700.0,3.758449,0.0,0.0,4.584851
448,1625.0,3.879522,0.0,0.0,5.559476
449,95.0,0.85427,0.98151,0.167736,0.976504
450,16.0,3.799519,0.201263,1.064784,1.26317
451,10.0,3.163505,2.1709,5.591846,4.744879
452,91.0,2.062382,2.8381,7.394998,1.943552
454,178.0,2.29868,1.812711,4.339456,3.218766
455,245.0,0.41769,1.863866,1.387236,2.551309
458,1619.0,0.989386,2.499288,2.952144,6.30277
459,178.0,3.165918,1.069361,3.324966,0.238607
460,62.0,0.095788,1.559885,0.39746,2.94668
461,178.0,2.313821,0.682953,1.367118,1.564051
463,396.0,4.118955,0.0,0.0,5.130972
464,317.0,0.86352,2.420386,3.397071,3.734039
465,79.0,5.061838,0.906983,4.140782,2.057515
466,215.0,2.743604,2.078933,3.755213,6.840005
467,171.0,0.142432,2.036254,1.713036,1.649148
468,1289.0,1.455254,1.2558,1.36134,4.828536
469,178.0,1.396069,1.346754,1.753304,1.940069
470,313.0,2.187931,1.867582,3.26354,5.105364
471,700.0,1.325419,1.201065,1.132076,4.045
472,15.0,3.138502,1.874363,5.56713,1.967106
473,1516.0,0.114276,1.976015,1.306649,4.663765
474,405.0,4.419338,0.90008,2.679499,7.557549
475,60.0,1.932408,0.577655,0.586913,0.0
476,872.0,2.799013,1.101897,2.220287,5.793395
477,872.0,0.0,1.98245,1.021027,3.052987
478,1611.0,1.346078,1.334693,1.455296,5.278904
480,1625.0,0.778397,1.029976,0.124545,3.151611
481,13.0,2.977755,2.564217,4.9172,7.759418
484,506.0,2.941412,0.450147,0.660423,1.614945
485,10.0,3.849345,0.485183,1.515167,2.076026
486,317.0,3.945747,1.928168,6.244265,3.748052
488,9.0,3.991611,1.07119,6.010362,0.287619
490,849.0,3.293019,0.624343,0.701307,7.7303
491,95.0,3.781114,0.415672,0.620317,8.516232
493,173.0,2.077232,1.806785,3.713771,2.37472
494,405.0,1.467379,0.894897,0.404134,1.629666
495,20.0,2.594735,2.042305,6.336394,0.0
496,405.0,0.0,1.532339,0.276096,2.153704
497,11.0,0.183052,2.527987,3.140115,2.619291
498,874.0,0.883578,2.28075,2.594376,3.501775
499,446.0,0.183178,1.169204,0.0,4.065202
500,287.0,1.137101,0.939723,0.136372,6.233059
501,1134.0,1.961934,0.604675,0.497561,4.719681
502,506.0,0.278548,1.005079,0.0,1.577491
503,61.0,2.177394,0.599716,0.0,0.761859
504,189.0,2.10072,0.349541,0.0,4.673799
505,11.0,2.841355,0.919586,2.154151,3.548363
506,751.0,2.171078,2.052727,3.607154,6.028942
507,13.0,3.116152,1.289257,3.429514,3.588494
509,93.0,0.506229,1.518166,1.151527,3.694023
511,125.0,4.378328,1.215001,4.408243,4.918743
512,62.0,1.28829,1.613633,1.820024,2.758339
514,728.0,1.387794,1.297738,1.351687,1.163618
515,12.0,0.452671,1.190014,0.483576,3.5269
516,396.0,3.054728,1.129409,2.917079,4.266993
517,79.0,3.709714,1.543404,5.105137,4.272346
518,121.0,0.788677,1.926399,2.440808,1.504129
519,15.0,0.0,2.43261,1.874835,2.676338
520,287.0,1.241049,1.883057,1.995956,6.25891
521,751.0,0.736942,2.009238,2.244864,3.499116
522,654.0,1.04151,1.661984,2.303497,2.867903
523,190.0,4.040964,0.616901,1.423999,1.71347
524,387.0,0.652728,1.93718,1.960519,3.681631
525,1289.0,0.0,2.664471,3.756033,1.15299
526,874.0,3.695641,0.681472,1.553099,7.424437
528,1029.0,1.119729,0.896988,0.0,1.15368
529,287.0,0.0,1.556926,0.232507,1.937399
530,287.0,0.0,1.493426,0.074363,5.282693
533,62.0,1.112314,0.770242,0.134508,0.161002
535,12.0,2.082832,1.867999,4.255004,3.343456
536,396.0,2.885019,1.15169,2.578168,4.813514
537,13.0,0.902196,2.329337,3.169681,4.776877
538,173.0,0.176967,1.829956,1.3914,1.974862
539,329.0,2.170751,0.835913,0.495618,0.251475
540,9.0,4.339283,0.792657,2.594596,6.674588
541,287.0,0.0,1.493922,0.747741,1.214819
543,121.0,1.924836,2.330346,3.38983,6.597852
544,849.0,1.92774,1.226094,1.990526,2.076803
545,405.0,0.0,1.539555,0.054304,2.003263
546,171.0,0.76973,2.942553,6.430343,1.696452
547,189.0,4.619717,0.112631,0.565461,2.821506
548,446.0,0.68272,1.474787,0.427368,6.830688
549,171.0,0.729853,1.799964,2.258184,2.784636
550,20.0,2.972412,1.361081,3.26044,4.912264
551,10.0,0.164887,1.321312,0.287058,1.822185
552,229.0,1.505415,2.137712,2.645061,7.021985
553,60.0,0.871404,1.759422,1.50784,3.959176
554,20.0,0.29427,1.52895,0.889075,2.690498
555,137.0,2.03812,1.056413,2.074419,2.467959
556,5.0,3.743425,1.946839,5.913399,4.704203
557,790.0,3.942131,0.866688,2.879729,1.685506
558,10.0,4.620316,0.898697,4.50297,1.120271
559,874.0,2.503893,0.561807,0.876771,0.0
560,1134.0,1.75534,0.875737,0.53209,1.366752
561,872.0,0.103003,1.273297,0.37134,2.452636
563,405.0,3.205219,1.088047,2.901005,4.031757
565,1134.0,3.714624,0.131943,0.165753,3.505596
566,350.0,2.181646,0.839167,0.735432,5.612663
567,137.0,0.260587,3.146259,4.655264,4.122916
568,10.0,2.417275,1.056259,1.623857,0.849428
569,1134.0,0.253651,2.968057,3.456666,4.478354
570,329.0,4.934209,0.0,0.145732,7.431727
571,751.0,0.018718,2.595225,2.305078,3.977463
572,215.0,1.251971,1.174267,1.407015,2.302844
573,20.0,0.0,1.648573,0.256727,1.228938
574,5.0,3.166663,0.230751,0.340622,0.747441
575,1625.0,0.807245,0.935265,0.791236,2.598605
576,91.0,1.836136,2.226739,3.813044,3.650218
577,62.0,0.610715,2.154154,2.931647,1.9817
579,357.0,2.56213,0.992794,1.301493,1.465914
580,345.0,1.130987,1.08002,0.582317,2.176723
581,11.0,0.0,2.35479,1.760594,3.984402
582,446.0,0.0,2.479115,4.404519,0.820203
583,245.0,2.493083,1.103178,1.701523,1.454878
584,357.0,0.0,1.981526,0.583495,2.641475
585,53.0,2.150033,1.476491,2.66659,2.684805
586,849.0,1.112696,1.014195,1.271716,1.60194
587,13.0,2.078612,2.948105,4.763046,7.441454
588,1029.0,2.456119,1.028476,2.196932,4.144588
589,13.0,1.895414,1.692423,3.21101,2.571755
591,396.0,0.556378,1.939507,1.314447,5.786656
