,Elevation,Latent Variable 1,Latent Variable 2
710,10.0,1.629516,3.118959
711,872.0,3.244541,3.877703
712,178.0,3.587619,3.680901
713,654.0,4.086189,2.11654
714,178.0,3.718679,4.541453
716,11.0,2.542317,7.43246
717,751.0,3.407659,3.493398
718,137.0,1.781277,2.097198
719,229.0,1.789887,0.0
720,60.0,1.073464,0.0
721,171.0,3.982849,4.60522
722,728.0,2.606033,3.55356
723,1475.0,6.039638,3.987121
724,62.0,9.524976,2.114706
726,654.0,0.0,2.458803
727,93.0,1.783124,3.463371
728,350.0,8.374031,2.252835
730,11.0,1.111606,1.578954
731,654.0,3.846196,1.942965
732,506.0,1.253876,3.026321
733,506.0,5.414233,0.341557
734,728.0,1.85044,1.983593
735,137.0,5.348621,5.302995
736,446.0,1.730009,0.874333
737,5.0,3.769656,4.050448
739,121.0,4.203006,5.197976
740,5.0,3.88204,4.981988
741,317.0,2.445199,3.046353
742,1475.0,3.470729,0.648366
743,79.0,3.19871,1.881918
744,1608.0,2.876006,0.0
745,5.0,4.125593,5.807944
746,1289.0,5.708372,3.709573
747,270.0,5.803123,4.899311
748,91.0,1.341365,2.451828
749,9.0,3.921646,3.553214
750,1625.0,3.223337,2.09696
751,245.0,4.849558,0.0
752,229.0,0.0,3.555369
753,5.0,5.898234,6.078712
754,697.0,3.375582,4.964531
755,317.0,0.994376,1.483809
756,229.0,0.0,5.631283
757,1099.0,4.41524,0.363796
759,12.0,0.320904,2.155174
760,60.0,9.453703,3.276446
763,287.0,2.206787,2.21771
764,317.0,3.837395,1.883287
765,405.0,3.898632,6.817754
766,53.0,2.117034,5.341059
767,245.0,0.330959,4.374446
768,214.0,0.5855,0.813195
769,189.0,1.51937,8.252935
770,405.0,2.989825,2.576454
772,215.0,5.560771,5.772824
773,697.0,3.480449,3.92663
774,93.0,0.786183,0.661387
775,405.0,7.988645,0.86738
776,10.0,1.148124,6.129771
777,751.0,5.099267,4.226268
778,245.0,2.910269,3.325964
779,215.0,7.484933,0.305494
780,5.0,1.397771,2.671509
781,728.0,6.841252,1.812271
782,171.0,2.175192,1.465044
783,15.0,0.680015,3.858354
784,189.0,1.012525,1.174045
785,214.0,1.387305,1.166755
786,654.0,0.642693,0.0
787,270.0,4.486642,3.080468
788,9.0,4.587739,2.516528
789,872.0,1.632551,3.363694
790,61.0,7.570265,3.947889
791,697.0,2.471933,2.43878
792,95.0,2.312511,3.741293
794,180.0,0.0,3.085365
795,15.0,2.672078,6.371342
796,10.0,0.117944,4.625377
797,1099.0,2.04673,2.112181
798,3.0,3.274152,4.180362
799,16.0,8.513426,3.276009
801,270.0,3.223592,3.882473
802,79.0,5.738252,6.16839
803,171.0,3.068413,4.495641
804,329.0,7.214338,3.41428
805,121.0,0.488628,4.461295
807,1134.0,7.950514,4.500326
808,229.0,7.567553,3.894584
809,60.0,2.13135,5.166135
811,16.0,2.707722,1.738754
812,93.0,1.016431,7.809108
813,9.0,8.736211,0.152891
814,387.0,7.638277,4.896593
815,79.0,2.16626,4.744569
816,849.0,2.948617,3.224109
818,171.0,1.533346,0.053743
819,37.0,2.256876,5.0772
820,1252.0,1.87204,1.535293
821,697.0,4.52083,3.491278
822,9.0,3.479539,2.222156
823,16.0,3.338893,6.111806
824,121.0,4.936033,4.549303
825,359.0,1.546133,1.505386
826,178.0,2.767409,3.5835
827,245.0,4.87333,4.328494
828,287.0,1.351395,0.833121
831,9.0,3.727696,3.958172
832,329.0,3.901162,2.918264
833,189.0,6.083501,3.325756
834,506.0,4.024642,2.961786
835,1099.0,4.2672,2.990133
836,329.0,5.213938,4.316246
838,357.0,1.759744,1.918764
839,350.0,2.980444,2.64449
840,79.0,4.60184,6.00482
841,16.0,5.232411,3.823415
842,1608.0,4.746718,4.608472
843,728.0,9.032995,2.828448
844,171.0,5.280119,5.950458
846,180.0,1.013316,3.364278
848,1608.0,3.73644,2.749316
849,359.0,2.083393,3.245601
850,287.0,1.178889,1.046126
851,446.0,4.972496,0.0
852,700.0,3.936051,2.088523
853,1625.0,5.757739,2.522033
854,317.0,5.459079,0.0
855,125.0,4.817303,3.206472
856,329.0,3.128469,0.710554
857,5.0,0.764546,4.847147
858,171.0,0.0,3.676587
859,270.0,2.716884,1.638075
860,790.0,1.759835,1.66095
861,387.0,1.205993,7.591802
862,125.0,0.587415,0.041141
863,125.0,0.910358,0.709105
864,350.0,4.1917,1.418252
865,15.0,4.051266,4.974284
866,874.0,3.053648,3.776663
867,1516.0,2.794824,1.530757
868,313.0,3.384821,4.063646
869,20.0,0.831384,3.407609
870,9.0,7.410072,3.636959
871,270.0,2.254116,2.315833
872,317.0,0.347469,5.877106
874,1475.0,5.533838,4.94047
875,313.0,3.959674,5.182636
876,245.0,0.522238,2.068561
877,171.0,3.510884,4.335672
878,10.0,0.805759,3.507993
879,214.0,1.746881,1.94075
880,189.0,1.692776,0.0
882,396.0,8.245998,3.154824
883,317.0,4.298115,4.938291
884,849.0,4.939901,4.141527
885,849.0,5.129315,3.74059
886,405.0,4.152459,3.603614
887,1608.0,3.555196,2.51575
888,95.0,2.787804,3.64838
889,173.0,2.302569,3.074561
890,11.0,5.738312,3.542433
891,1029.0,3.718054,2.081671
892,10.0,0.888076,7.458793
893,357.0,1.48875,1.159846
894,874.0,3.996953,2.748231
895,215.0,2.769494,0.0
896,125.0,2.366594,4.046669
