,Elevation,Latent Variable 1,Latent Variable 2,Latent Variable 3
376,62.0,0.444162,6.916452,4.402977
377,229.0,0.266523,3.865765,1.555071
378,13.0,4.49349,2.292952,5.318627
379,189.0,2.605635,6.764285,6.060284
380,1611.0,2.581401,1.647198,2.736635
381,173.0,1.339387,2.464587,2.614209
382,1099.0,3.588367,5.224883,4.541442
383,874.0,0.0,1.487152,2.727655
384,1516.0,3.11727,2.341522,5.28613
385,245.0,5.607199,4.288349,3.63132
386,1516.0,2.926743,6.19526,0.140219
387,1611.0,1.152459,2.824924,0.0
388,91.0,1.655937,2.147342,2.031942
389,849.0,1.799999,3.520805,5.305132
391,849.0,2.20524,2.791939,4.765122
392,849.0,0.503359,2.237228,2.540758
393,190.0,0.0,4.355188,2.4781
394,61.0,2.18895,6.26903,7.128392
395,287.0,1.160631,1.983676,8.631259
396,1619.0,0.949329,1.581185,3.625453
397,317.0,0.061072,1.277885,2.692945
398,79.0,1.901438,4.745834,5.143372
399,405.0,1.264139,4.281426,1.230375
401,270.0,1.563428,0.947067,2.030236
402,1608.0,2.572654,0.191489,3.004573
403,178.0,3.323318,5.077638,2.236504
404,1475.0,0.736033,6.312524,3.199655
405,874.0,1.862561,0.0,2.27056
406,350.0,4.571418,5.396476,3.011747
407,79.0,5.641876,3.454174,4.320969
408,396.0,1.135703,2.411763,1.867267
409,178.0,3.769373,7.268339,2.059068
410,1516.0,2.592273,0.189929,4.198681
411,405.0,0.300047,6.010206,8.009147
412,1475.0,0.312733,0.809526,2.727613
413,1289.0,2.398487,0.0,2.673256
414,1099.0,3.892092,3.818405,5.289059
415,178.0,3.670589,4.721709,3.602769
416,137.0,4.258399,2.72526,5.827966
417,173.0,3.957236,1.563401,3.50722
418,15.0,7.029225,2.608581,3.513603
419,849.0,0.278854,0.204225,1.571274
420,13.0,3.114651,1.837066,3.38698
421,1029.0,0.976695,0.323401,0.625391
423,61.0,0.827694,1.614032,5.301764
424,506.0,1.119589,0.265414,2.509084
425,1099.0,4.932341,1.592256,4.236988
426,849.0,0.0,3.049896,3.842295
427,270.0,0.61468,1.303522,6.048647
428,1608.0,1.294452,2.773198,1.752994
429,121.0,5.890347,2.412078,3.333535
430,178.0,6.509773,6.21599,1.026649
431,506.0,0.0,2.010118,1.925669
432,357.0,0.0,0.0,1.485377
433,171.0,5.084999,3.08404,4.493397
434,387.0,2.09856,5.623054,5.677131
435,3.0,6.052688,1.912715,4.331876
436,60.0,2.902773,4.340456,4.472269
437,5.0,3.7748,3.958647,4.608633
438,125.0,3.468737,4.282089,4.36275
439,287.0,1.267581,0.594881,1.008239
440,9.0,1.969158,1.909637,1.365698
441,121.0,4.38201,1.801549,4.292472
442,95.0,1.244962,0.868931,2.489008
443,5.0,1.614817,2.991403,5.176599
444,189.0,0.891448,4.964209,0.95397
446,13.0,2.45886,3.035891,2.302402
447,700.0,0.0,4.129263,4.217736
448,1625.0,0.0,4.321225,5.108125
449,95.0,0.602982,1.264999,0.861911
450,16.0,1.090209,4.840909,1.550827
451,10.0,6.336748,5.600531,5.035721
452,91.0,8.952432,6.085499,2.167688
454,178.0,5.13823,4.483438,3.619547
455,245.0,2.025489,0.924166,2.225922
458,1619.0,3.598812,1.706704,6.123115
459,178.0,3.660327,5.335923,0.703886
460,62.0,0.910027,0.209073,2.565525
461,178.0,1.602545,3.344127,1.74587
463,396.0,0.0,4.57951,4.839863
464,317.0,4.453032,2.409626,3.694355
